,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
1.017990803,1.262475579,-3.882737861,0.001906538,0.001727512,0.004404079,26,51.75,2,1,17
0.998314002,1.298644123,-3.818297961,0.001855901,0.001712797,0.004381065,27,53.82,2,1,17
1.072705135,1.270237654,-3.839885591,0.001631562,0.001528335,0.003919715,28,55.89,2,1,17
0.966882222,1.22644199,-3.827386802,0.001538706,0.001466198,0.003771044,29,57.96,2,1,17
0.951059531,1.217264987,-3.807671461,0.001610311,0.001530668,0.00393518,30,60.03,2,1,17
0.92489857,1.191993517,-3.812001963,0.00166403,0.001569521,0.004029775,31,62.1,2,1,17
0.938931994,1.184752465,-3.835507795,0.00169905,0.001602547,0.004114502,32,64.17,2,1,17
0.831119511,1.187069474,-3.799587065,0.001681146,0.001552446,0.003971251,33,66.24,2,1,17
0.810228298,1.163156724,-3.74638115,0.001827835,0.001674182,0.004276386,34,68.31,2,1,17
0.727082715,1.157634478,-3.795139347,0.001735489,0.00157204,0.004007434,35,70.38,2,1,17
0.6885516,1.180833816,-3.880406683,0.001858375,0.001668752,0.004246552,36,72.45,2,1,17
0.700567878,1.224537152,-3.909988621,0.002896725,0.002528246,0.006397936,37,74.52,2,1,17
0.823606682,1.279554864,-3.950017758,0.003750783,0.003245184,0.008196835,38,76.59,2,1,17
0.776788607,1.220311878,-3.930404604,0.00572972,0.004914106,0.012389893,39,78.66,2,1,17
0.749169028,1.157297095,-3.915169866,0.004416562,0.003760687,0.009467398,40,80.73,2,1,17
0.830003236,1.173141653,-3.944237489,0.004112152,0.00360128,0.009125366,41,82.8,2,1,17
0.68529766,1.300751514,-3.943433847,0.003830793,0.003286717,0.008325313,42,84.87,2,1,17
0.631414209,1.256719691,-3.927932243,0.003218449,0.002723052,0.006970737,43,86.94,2,1,17
0.644067277,1.30223704,-3.943243114,0.002289491,0.001925098,0.004940513,44,89.01,2,1,17
0.618951894,1.333217028,-3.85548559,0.002442309,0.002121319,0.005411431,45,91.08,2,1,17
0.66048385,1.375473981,-3.812167699,0.003294235,0.002932339,0.007480184,46,93.15,2,1,17
0.662408005,1.451293176,-3.807157398,0.003185439,0.002868333,0.007313619,47,95.22,2,1,17
0.719163106,1.50120401,-3.861281813,0.003411574,0.003106155,0.007928671,48,97.29,2,1,17
